sequenceID,genotyping_core,genotyping_e1,genotyping_e2,genotyping_p7,genotyping_ns2,genotyping_ns3,genotyping_ns4a,genotyping_ns4b,genotyping_ns5a,genotyping_ns5b
H191060367-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191060369-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191160037-1_NGS94,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H191480033-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191480035-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760555-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760557-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760560-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H191760561-1_NGS94,1c,,1,,,1a,,1a,1a,1a
H191880052-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H192280401-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H192280402-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210680187-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210680246-1_NGS94,,3a,3,,3a,3a,,3a,3a,3a
H210700031-1_NGS94,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210720534-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210720535-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210720656-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210760105-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210760109-1_NGS94,,,,,,,1a,1,,
H210760525-1_NGS94,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210760526-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210760528-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780309-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780571-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210780572-1_NGS94,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210781076-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210781077-1_NGS94,,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210781078-1_NGS94,,1,,1a,1,1a,1a,,1a,1a
H210781079-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210781080-1_NGS94,1a,,1a,,1a,1a,1a,1a,1a,1a
H210781081-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210781082-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210781282-1_NGS94,2k,2k,,,,,,,,
H210800368-1_NGS94,3a,3,3a,3a,3a,3a,3a,3a,3a,3a
H210800427-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210820484-1_NGS94,3a,,3a,3a,,3a,3a,,3a,3a
H210820485-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210820549-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210820554-1_NGS94,,,,,,,,,,
H210820590-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210840136-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210840522-1_NGS94,1a,,,,1a,1a,,,1a,1a
H210840553-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210860052-1_NGS94,5a,5a,5a,5a,5a,5a,5a,5a,5a,5a
H210861063-1_NGS94,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
RS17004844-1_NGS94,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210700034-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210880181-1_NGS95,,,,,,1a,1a,,1a,1a
H210880650-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210880653-1_NGS95,1a,1,1a,1a,1a,1a,1a,1a,1a,1a
H210880654-1_NGS95,,,,,,,,,,
H210880664-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210880665-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210880666-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210900534-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210900535-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210900536-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210900537-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210900538-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210900539-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210920145-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210920146-1_NGS95,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H210920588-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210940531-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210960137-1_NGS95,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210960524-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210960527-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210960908-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210960909-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210960910-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210960911-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210980721-1_NGS95,2k,2k,2k,2k,2,1b,1b,1b,1b,1b
H210980722-1_NGS95,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H210980723-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210980724-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210980725-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H210980726-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H210980727-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H210980728-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211000392-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211040783-1_NGS95,,,,3a,,,3a,3a,,
H211040784-1_NGS95,2k,2k,2k,2k,2,1b,1b,1b,1b,1b
H211060465-1_NGS95,,,,,,,,3a,,
H211060466-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211060474-1_NGS95,1c,1c,1,1,1,1,1,1c,1c,1c
H211060475-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211060708-1_NGS95,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211080571-1_NGS95,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211080572-1_NGS95,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211080573-1_NGS95,4d,4d,4d,4d,4d,4d,4d,4d,4d,4d
H203780590-1_NGS96,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H210880654-1_NGS96,3a,,3a,3a,3a,3a,3,3a,3a,3a
H211080109-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211100184-1_NGS96,1,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211100185-1_NGS96,,,3a,3a,3a,3a,,3a,3a,3a
H211120729-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211120730-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211120731-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211120732-1_NGS96,,,,,,,,,,
H211140559-1_NGS96,3a,,3a,,3a,3a,3a,3a,3a,3a
H211140562-1_NGS96,1a,,,1a,1a,1a,1a,1a,1a,1a
H211140563-1_NGS96,,1a,1a,,1a,1a,1a,1a,1a,1a
H211140564-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140566-1_NGS96,2b,2b,2b,2b,2b,2b,2b,2b,2b,2b
H211140566-2_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140568-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140635-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211140804-1_NGS96,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211160489-1_NGS96,1a,1a,1a,,1a,1a,1a,1a,1a,1a
H211200490-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211200491-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211200492-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211220510-1_NGS96,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H211220511-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211220513-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211240163-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211240165-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211241127-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211241128-1_NGS96,4r,4r,4r,4r,4r,4r,4r,4r,4r,4r
H211241521-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211260841-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211260843-1_NGS96,4d,4d,4d,4d,4d,4d,4d,4d,4d,4d
H211280817-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211280818-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211280819-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211280820-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211360671-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211360791-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211360921-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211361096-1_NGS96,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211361097-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211361171-1_NGS96,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420369-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420370-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211420371-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420372-1_NGS97,4k,4k,4k,4k,4k,4k,4k,4k,4k,4k
H211420373-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211420374-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420375-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211420376-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211440767-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211440768-1_NGS97,,2b,,2b,2b,2b,2b,2b,,
H211440769-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211440770-1_NGS97,,,,,,1b,1b,,,
H211460729-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480307-1_NGS97,,,3,,3a,3a,,3a,3a,3a
H211480619-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480620-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480621-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480623-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211480624-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480625-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211480669-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211500319-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211500410-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211500411-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520034-1_NGS97,1,1b,1b,1b,1b,1b,1b,1b,1b,1b
H211520035-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520036-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520037-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520038-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520039-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520041-1_NGS97,1a,1a,1a,1a,1a,1a,1,1a,1a,1a
H211520042-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520043-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520052-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520425-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520426-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520427-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520428-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520429-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520430-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
H211520431-1_NGS97,1a,1a,1a,1a,1a,1a,1a,1a,1a,1a
H211520432-1_NGS97,4w,4w,4w,4w,4w,4w,4w,4w,4w,4w
H211520433-1_NGS97,3a,3a,3a,3a,3a,3a,3a,3a,3a,3a
