ID,genotype,subtype,gen_sub,reference_status
KM252789,6,xd,6xd,confirmed
KM252790,6,xd,6xd,confirmed
KM252791,6,xd,6xd,confirmed
JX183557,6,xe,6xe,confirmed
KM252792,6,xe,6xe,confirmed
KJ567646,6,xf,6xf,confirmed
KJ567647,6,xf,6xf,confirmed
MH492361,6,xg,6xg,confirmed
MH492360,6,xg,6xg,confirmed
MH492362,6,xg,6xg,confirmed
MG879000,6,xh,6xh,confirmed
DQ278891,6,-,6,unassigned
DQ278893,6,-,6,unassigned
JX183558,6,-,6,unassigned
JX183553,6,-,6,unassigned
JX183554,6,-,6,unassigned
JX183551,6,-,6,unassigned
JX183549,6,-,6,unassigned
JX183550,6,-,6,unassigned
KJ470620,6,-,6,unassigned
KJ470621,6,-,6,unassigned
KJ470622,6,-,6,unassigned
KJ470623,6,-,6,unassigned
KJ470624,6,-,6,unassigned
KJ470625,6,-,6,unassigned
KC844039,6,-,6,unassigned
KC844040,6,-,6,unassigned
KJ567652,6,-,6,unassigned
KJ567650,6,-,6,unassigned
KJ567649,6,-,6,unassigned
KJ567648,6,-,6,unassigned
KJ567644,6,-,6,unassigned
MG878999,6,-,6,unassigned
EF108306,7,a,7a,confirmed
KX092342,7,b,7b,confirmed
MH590698,8,a,8a,confirmed
MH590699,8,a,8a,confirmed
MH590700,8,a,8a,confirmed
MH590701,8,a,8a,confirmed
AY587845,RF2k_1b,-,recombinant,recombinant
DQ155560,RF2i_6p,-,recombinant,recombinant
DQ364460,RF2b_1b_1,-,recombinant,recombinant
AM408911,RF2_5,-,recombinant,recombinant
EU643835,RF2b_6w,-,recombinant,recombinant
AB622121,RF2b_1b_2,-,recombinant,recombinant
JF779679,RF2b_1a,-,recombinant,recombinant
AB677530,RF2b_1b_3,-,recombinant,recombinant
AB677527,RF2b_1b_4,-,recombinant,recombinant
JQ434008 ,,,,outgroup
