LID,LPERIOD,ORDNB,CONTMC,CONTMCSEQ,POS,BCSEQ,BC
H2,1090,534,SHCSR,10,162,,
H2,1090,535,SHCSR,9,163,,
H2,1090,536,SHCSR,9,164,,
H2,1090,537,SHCSR,9,165,,
H2,1090,538,SHESR,10,166,,
H2,1090,539,SHCSR,9,167,,
H2,1092,145,SHCSR,9,168,,
H2,1092,146,SHCSR,10,169,,
H2,1094,531,SHESR,9,170,,
H2,1096,137,SHCSR,9,171,,
H2,1096,524,SHCSR,9,172,,
H2,1096,527,SHCSR,10,173,,
H2,1096,908,SHCSR,10,174,,
H2,1096,909,SHCSR,10,175,,
H2,1096,910,SHESR,9,176,,
H2,1096,911,SHCSR,9,177,,
H2,1098,721,SHCSR,9,178,,
H2,1098,722,SHCSR,10,179,,
H2,1098,723,SHESR,9,180,,
H2,1098,724,SHCSR,9,181,,
H2,1098,725,SHCSR,10,182,,
H2,1098,726,SHCSR,9,183,,
H2,1098,727,SHCSR,9,184,,
H2,1098,728,SHCSR,9,185,,
H2,1100,392,SHESR,10,186,,
H2,1104,783,SHCSR,10,187,,
H2,1104,784,SHCSR,10,188,,
H2,1106,465,SHCSR,9,189,,
H2,1106,466,SHESR,9,190,,
H2,1106,474,SHCSR,9,191,,
H2,1106,475,SHCSR,10,192,,
H2,1106,708,SHCSR,9,193,,
H2,1108,571,SHCSR,9,194,,
H2,1108,572,SHCSR,10,195,,
H2,1108,573,SHESR,9,196,,
H2,378,590,SHCSR,9,197,,
H2,1108,109,SHCSR,9,198,,
H2,1110,184,SHCSR,10,199,,
H2,1110,185,SHESR,10,200,,
H2,1112,729,SHCSR,10,201,,
H2,1112,730,SHCSR,9,202,,
H2,1112,731,SHCSR,9,203,,
H2,1112,732,SHCSR,9,204,,
H2,1114,559,SHCSR,10,205,,
H2,1114,562,SHESR,9,206,,
H2,1114,563,SHCSR,9,207,,
H2,1114,564,SHCSR,10,208,,
H2,1114,566,SHCSR,9,209,,
H2,1114,568,SHESR,9,210,,
H2,1114,635,SHCSR,9,211,,
H2,1114,804,SHCSR,10,212,,
H2,1116,489,SHCSR,10,213,,
H2,1120,490,SHCSR,10,214,,
H2,1120,491,SHCSR,9,215,,
H2,1120,492,SHESR,9,216,,
H2,1122,510,SHCSR,9,217,,
H2,1122,511,SHCSR,10,218,,
H2,1122,513,SHCSR,9,219,,
H2,1124,163,SHESR,9,220,,
H2,1124,165,SHCSR,10,221,,
H2,1124,1127,SHCSR,9,222,,
H2,1124,1128,SHCSR,9,223,,
H2,1124,1521,SHCSR,9,224,,
H2,1126,841,SHCSR,10,225,,
H2,1126,843,SHESR,10,226,,
H2,1128,817,SHCSR,10,227,,
H2,1128,818,SHCSR,9,228,,
H2,1128,819,SHCSR,9,229,,
H2,1128,820,SHESR,9,230,,
H2,1136,671,SHCSR,10,231,,
H2,1136,791,SHCSR,9,232,,
H2,1136,921,SHCSR,9,233,,
H2,1136,1096,SHCSR,10,234,,
H2,1136,1097,SHCSR,9,235,,
H2,1136,1171,SHESR,9,236,,
H2,1142,369,SHCSR,9,237,,
H2,1142,370,SHCSR,10,238,,
H2,1142,371,SHCSR,10,239,,
H2,1142,372,SHESR,10,240,,
H2,1142,373,SHCSR,9,241,,
H2,1142,374,SHCSR,9,242,,
H2,1142,375,SHCSR,9,243,,
H2,1142,376,SHCSR,10,244,,
H2,1144,767,SHCSR,9,245,,
H2,1144,768,SHESR,9,246,,
H2,1144,769,SHCSR,10,247,,
H2,1144,770,SHCSR,9,248,,
H2,1146,729,SHCSR,9,249,,
H2,1148,307,SHESR,9,250,,
H2,1148,619,SHCSR,10,251,,
H2,1148,620,SHCSR,10,252,,
H2,1148,621,SHCSR,10,253,,
H2,1148,623,SHCSR,9,254,,
H2,1148,624,SHCSR,9,255,,
H2,1148,625,SHESR,9,256,,
H2,1148,669,SHCSR,10,257,,
H2,1150,319,SHCSR,9,258,,
H2,1150,410,SHCSR,9,259,,
H2,1150,411,SHESR,10,260,,
H2,1152,34,SHCSR,9,261,,
H2,1152,35,SHCSR,9,262,,
H2,1152,36,SHCSR,9,263,,
H2,1152,37,SHCSR,10,264,,
H2,1152,38,SHCSR,10,265,,
H2,1152,39,SHESR,10,266,,
H2,1152,41,SHCSR,9,267,,
H2,1152,42,SHCSR,9,268,,
H2,1152,52,SHCSR,9,269,,
H2,1152,425,SHESR,10,270,,
H2,1152,426,SHCSR,9,271,,
H2,1152,427,SHCSR,9,272,,
H2,1152,428,SHCSR,10,273,,
H2,1152,429,SHCSR,9,274,,
H2,1152,430,SHCSR,9,275,,
H2,1152,431,SHESR,9,276,,
H2,1152,432,SHCSR,10,277,,
H2,1152,433,SHCSR,10,278,,
H2,1152,434,SHCSR,10,279,,
H2,1152,435,SHESR,9,280,,
H2,1152,437,SHCSR,9,281,,
H2,1152,438,SHCSR,9,282,,
H2,1152,441,SHCSR,10,283,,
H2,1152,812,SHCSR,9,284,,
H2,1152,813,SHCSR,9,285,,
H2,1152,436,SHESR,10,286,,
H2,1152,814,SHCSR,9,287,,
H2,1152,815,SHCSR,9,288,,
H2,1152,816,SHCSR,9,289,,
H2,1152,817,SHESR,10,290,,
H2,1152,860,SHCSR,10,291,,
H2,1152,861,SHCSR,10,292,,
H2,1154,709,SHCSR,9,293,,
H2,1156,70,SHCSR,9,294,,
H2,1156,508,SHCSR,9,295,,
H2,1156,511,SHESR,10,296,,
H2,1156,512,SHCSR,9,297,,
H2,1156,513,SHCSR,9,298,,
H2,1158,351,SHCSR,10,299,,
H2,1158,607,SHESR,9,300,,
H2,1158,719,SHCSR,9,301,,
H2,1160,485,SHCSR,9,302,,
H2,1160,486,SHCSR,10,303,,
H2,1162,703,SHCSR,10,304,,
H2,1162,704,SHCSR,10,305,,
H2,1164,521,SHESR,9,306,,
H2,1168,167,SHCSR,9,307,,
H2,1168,168,SHCSR,9,308,,
H2,1168,169,SHCSR,10,309,,
H2,1168,170,SHESR,9,310,,
H2,1168,171,SHCSR,9,311,,
H2,1168,172,SHCSR,10,312,,
H2,1168,173,SHCSR,9,313,,
H2,1168,174,SHCSR,9,314,,
H2,1168,175,SHCSR,9,315,,
H2,1168,177,SHESR,10,316,,
H2,1168,178,SHCSR,10,317,,
H2,1168,601,SHCSR,10,318,,
H2,1170,38,SHCSR,9,319,,
H2,1170,39,SHESR,9,320,,
H2,1170,56,SHCSR,9,321,,
H2,1170,57,SHCSR,10,322,,
H2,1170,67,SHCSR,9,323,,
H2,1170,449,SHCSR,9,324,,
H2,1172,147,SHCSR,10,325,,
H2,1174,235,SHESR,9,326,,
H2,1174,540,SHCSR,9,327,,
H2,1174,541,SHCSR,9,328,,
H2,1174,542,SHCSR,10,329,,
H2,1174,543,SHESR,10,330,,
H2,1174,545,SHCSR,10,331,,
H2,1174,546,SHCSR,9,332,,
H2,1174,642,SHCSR,9,333,,
H2,1174,643,SHCSR,9,334,,
H2,1174,644,SHCSR,10,335,,
H2,1174,753,SHESR,9,336,,
H2,1176,658,SHCSR,9,337,,
H2,1176,659,SHCSR,10,338,,
H2,1176,660,SHCSR,9,339,,
H2,1154,708,SHESR,9,340,,
H2,1156,515,SHCSR,9,341,,
H2,1182,258,SHCSR,10,342,,
H2,1182,288,SHCSR,10,343,,
H2,1184,1102,SHCSR,10,344,,
H2,1184,1103,SHCSR,9,345,,
H2,1184,1104,SHESR,9,346,,
H2,1186,221,SHCSR,9,347,,
H2,1186,222,SHCSR,10,348,,
H2,1186,904,SHCSR,9,349,,
H2,1186,905,SHESR,9,350,,
H2,1186,906,SHCSR,10,351,,
H2,1186,907,SHCSR,9,352,,
H2,1186,908,SHCSR,9,353,,
H2,1186,909,SHCSR,9,354,,
H2,1186,910,SHCSR,10,355,,
H2,1186,911,SHESR,10,356,,
H2,1188,94,SHCSR,10,357,,
H2,1188,856,SHCSR,9,358,,
H2,1188,857,SHCSR,9,359,,
H2,1190,2,SHESR,9,360,,
H2,1190,6,SHCSR,10,361,,
H2,1190,485,SHCSR,9,362,,
H2,1190,486,SHCSR,9,363,,
H2,1192,1020,SHCSR,10,364,,
H2,1192,1022,SHCSR,9,365,,
H2,1192,1025,SHESR,9,366,,
H2,1192,1029,SHCSR,9,367,,
H2,1192,1167,SHCSR,10,368,,
H2,1194,943,SHCSR,10,369,,
H2,1194,944,SHESR,10,370,,
H2,1194,945,SHCSR,9,371,,
H2,1194,946,SHCSR,9,372,,
H2,1194,961,SHCSR,9,373,,
H2,1196,671,SHCSR,10,374,,
H2,1196,673,SHCSR,9,375,,
H2,1196,674,SHESR,9,376,,
